distribution,mu,sigma,tau,mean,variance,log_likelihood,aic,bic,n_params,ad,position,mean_input,window_start,window_end,alpha,loc,scale,a,d,beta,actual_mean,actual_variance,c,shift
weibull,,,,21.634449506744676,134.66471935600703,-866.633022627914,1737.266045255828,1744.1159452907907,2,0.37072246695160516,WR,24.0,23.0,25.0,,,24.385943299144074,,,,,,1.9379744170152666,
weibull,,,,19.544067946594144,99.5896928933744,-431.67721080474354,867.3544216094871,872.8957908584184,2,0.31229123392439817,WR,26.0,25.0,27.0,,,22.108142154932253,,,,,,2.0723718594175717,
lognormal,0.9965259302891109,0.7098078580111336,,3.5566131264358134,9.45139842177687,-5030.4513833421,10064.9027666842,10076.491589095653,2,1625.983568345232,TE,1.7000000029802322,0.7000000029802322,2.7000000029802322,,,,,,,,,,
lognormal,1.2399954385616987,0.7443219960020112,,4.569262050129213,13.93768317910515,-10473.343892143708,20950.687784287416,20963.480545429815,2,1319.3414772606147,TE,3.7000000029802322,2.7000000029802322,4.700000002980232,,,,,,,,,,
lognormal,1.5120471202943415,0.7868886934387604,,6.1084943166641805,23.632869664056248,-9866.368787265676,19736.73757453135,19749.15128738815,2,482.22085039385456,TE,5.700000002980232,4.700000002980232,6.700000002980232,,,,,,,,,,
generalized_gamma,,,,7.826421109945104,35.06250839085634,-8409.965359720856,16825.930719441712,16843.795942261502,3,116.9617239953941,TE,7.700000002980232,6.700000002980232,8.700000002980232,,,0.0850910936408196,0.4666274375638304,7.702085790300868,,,,,
gamma,,,,9.53438649974873,42.47026361197718,-6989.090828702823,13982.181657405647,13993.611012353249,2,32.09454398833532,TE,9.700000002980232,8.700000002980232,10.700000002980232,2.1404276356070127,,4.454430666629304,,,0.22449558088120525,9.53438649974873,40.773012596404676,,
gamma,,,,11.201320579185813,55.1676473392773,-4741.294159700224,9486.588319400447,9497.152466716634,2,7.843454718803514,TE,11.700000002980232,10.700000002980232,12.700000002980232,2.274332670850764,,4.925102084997844,,,0.20304147665203934,11.201320579185815,54.115596188689246,,
weibull,,,,12.59734751165193,61.354237417331305,-2866.355561707201,5736.711123414402,5746.206296468061,2,1.4045834199433784,TE,13.700000002980232,12.700000002980232,14.700000002980232,,,14.127175564530129,,,,,,1.6688303450740407,
weibull,,,,14.834799165667935,76.25882959143095,-1475.4519847973656,2954.9039695947313,2962.998713952824,2,1.6338792084759461,TE,15.700000002980232,14.700000002980232,16.700000002980232,,,16.699092776677617,,,,,,1.7746249875913755,
weibull,,,,16.600446230250665,83.94733780293427,-959.6304118435849,1923.2608236871697,1930.4502464463733,2,0.5543864269550909,TE,17.700000002980232,16.700000002980232,18.700000002980232,,,18.692614685903038,,,,,,1.8791081041128916,
weibull,,,,14.95590561622475,66.78829259808819,-437.2118505931993,878.4237011863986,884.1120753593158,2,0.5103998015192133,TE,19.700000002980232,18.700000002980232,20.700000002980232,,,16.893289492414354,,,,,,1.924556610316118,
gamma,,,,7.450777202072539,18.592748840435796,-532.4942339110759,1068.9884678221517,1075.5138481999616,2,1.2671633026476172,K,4.0,3.0,5.0,2.9857920090971706,,2.495410658000076,,,0.4007356451708998,7.450777202072539,16.579183333780772,,
gamma,,,,7.495777027027027,21.087904484772405,-6644.709878485737,13293.419756971474,13304.959358963482,2,24.44675732658061,K,6.0,5.0,7.0,2.6644028703505644,,2.813304665912172,,,0.3554538589853598,7.495777027027027,17.554880815147918,,
gamma,,,,7.908205382202411,20.21255306099268,-16992.192898261146,33988.38579652229,34001.80373633625,2,49.1487886825671,K,8.0,7.0,9.0,3.094102569743544,,2.555896323391078,,,0.39125217672101553,7.908205382202411,16.954426645617392,,
gamma,,,,8.630259243518912,22.671002952383738,-6753.265667633858,13510.531335267717,13522.05822804517,2,19.71921313241137,K,10.0,9.0,11.0,3.28531449476576,,2.626920271185253,,,0.3806739058543277,8.630259243518912,18.706470693523777,,
gamma,,,,9.664473684210526,26.815538687836103,-450.0205397343538,904.0410794687076,910.0888405104001,2,1.0008622010205386,K,12.0,11.0,13.0,3.483131652886251,,2.7746507015323947,,,0.3604057258262152,9.664473684210526,23.144001038781166,,
skew_normal,,,,4.7825443786982245,24.602121336787928,-1999.849135916674,4005.698271833348,4019.2468510614767,3,2.133691336402194,DST,3.0,2.0,4.0,3.271367447560129,-0.9400693900181023,7.57301171158905,,,,,,,
skew_normal,,,,6.41491395793499,34.5632192564591,-8185.018781355589,16376.037562711179,16393.644620840674,3,5.358831802403074,DST,5.0,4.0,6.0,3.49244848211655,-0.5215313058240846,9.092696581850038,,,,,,,
skew_normal,,,,7.127288771233179,37.16513443172258,-14362.678620272185,28731.35724054437,28750.614658297192,3,7.83187694778735,DST,7.0,6.0,8.0,3.4229066683993077,-0.04579864500340264,9.413710495184066,,,,,,,
skew_normal,,,,7.5232383808095955,39.699235090101126,-8523.762877884637,17053.525755769275,17071.19300899038,3,3.9235615485372364,DST,9.0,8.0,10.0,3.8390221346073794,-0.06016341811494275,9.859397886681307,,,,,,,
skew_normal,,,,9.138929088277859,50.2846060890381,-2300.5972826280167,4607.1945652560335,4620.808984727337,3,1.0410074556318705,DST,11.0,10.0,12.0,3.819307939844818,0.3953175719662003,11.257634624446208,,,,,,,
shifted_gamma,,,,8.920863309352518,51.583665441747314,-449.9606401964925,905.921280392985,914.7030414484566,3,1.0823603902724415,DST,13.0,12.0,14.0,1.565241100739866,,,,,0.15475230828349443,,,,-1.1
