distribution,mu,sigma,tau,mean,variance,log_likelihood,aic,bic,n_params,ad,position,mean_input,window_start,window_end,a,d,scale,alpha,loc,beta,actual_mean,actual_variance,c,shift
generalized_gamma,,,,4.716192776907398,17.916849303909224,-23163.254406561475,46332.50881312295,46353.9214769297,3,2754.645293181042,WR,3.5,2.0,5.0,0.3771408368531709,8.911749538103805,0.01138621117496887,,,,,,,
lognormal,1.0377638545649515,0.8648836279251608,,4.055909249169105,13.444742984876525,-17211.74227167316,34427.48454334632,34441.31540785518,2,1893.4869671773977,TE,3.5,2.0,5.0,,,,,,,,,,
gamma,,,,7.288557213930348,18.836521728622962,-554.3216104886843,1112.6432209773686,1119.2498307934868,2,1.3331972970995878,K,3.5,2.0,5.0,,,2.584396496555096,2.820216334314693,,0.3869375311926644,7.288557213930348,16.732655132298703,,
skew_normal,,,,5.491773308957953,29.638110261834818,-5003.005000428429,10012.010000856859,10028.219184130128,3,4.145558259542895,DST,3.5,2.0,5.0,,,8.408723894461476,3.541888670372146,-0.9166736105829454,,,,,
exgaussian,-0.7462273030314204,0.39083019741942365,5.5997112036607355,4.8535150933446305,36.17985665357719,-1839.829244622858,3685.658489245716,3699.135208750777,3,13.953746657620968,QB,4.0,2.5,5.5,,,,,,,,,,
generalized_gamma,,,,4.623339424194354,22.064469696940325,-16721.103782295788,33448.207564591576,33468.60292867977,3,205.07187170223733,RB,4.0,2.5,5.5,0.6477472381993366,2.196183919473399,1.1649274887672922,,,,,,,
generalized_gamma,,,,5.0475700699564445,19.5078905423614,-25954.493809030224,51914.98761806045,51936.660347891884,3,2238.9984040622294,WR,4.0,2.5,5.5,0.38733973377696823,8.57730751995112,0.015806651647643465,,,,,,,
lognormal,1.1221368580131241,0.8739668467098586,,4.409548232374715,15.219172397380929,-17576.072096939377,35156.144193878754,35169.9365487233,2,1393.097203140338,TE,4.0,2.5,5.5,,,,,,,,,,
gamma,,,,7.004651162790697,18.9902600472121,-1182.0578527645664,2368.115705529133,2376.243275946508,2,3.29987135831999,K,4.0,2.5,5.5,,,2.7110929018264285,2.58370015947139,,0.3688549364451188,7.004651162790697,17.14881557598702,,
skew_normal,,,,5.796471600688468,31.989126965200363,-7164.639963093714,14335.279926187428,14352.533061541344,3,5.592626227222809,DST,4.0,2.5,5.5,,,8.751336878738762,3.6593253139116353,-0.8816121598498333,,,,,
exgaussian,-0.7638559187088386,0.40296101620214625,6.092265196497615,5.32840435596486,42.3543134345782,-1815.7070553105148,3637.4141106210295,3650.765521887462,3,11.989411428709559,QB,4.5,3.0,6.0,,,,,,,,,,
generalized_gamma,,,,4.994527988995195,24.521148230377577,-17289.06365639724,34584.12731279448,34604.530366295105,3,185.30336475514923,RB,4.5,3.0,6.0,0.7344171852497741,1.7988119000676033,1.996760344562963,,,,,,,
generalized_gamma,,,,5.355970647269241,21.31207564880161,-28153.97315743726,56313.94631487452,56335.793181488385,3,1765.9254419729023,WR,4.5,3.0,6.0,0.4255962363067851,7.209081567669546,0.04228562158643187,,,,,,,
lognormal,1.2034491433287253,0.8781658600543154,,4.78071590011003,17.448548343235014,-16991.153538052335,33986.30707610467,33999.961425647394,2,1066.4914974624153,TE,4.5,3.0,6.0,,,,,,,,,,
gamma,,,,7.313700384122918,19.260377981816035,-2160.850713749631,4325.701427499262,4335.022577798941,2,8.36375289516559,K,4.5,3.0,6.0,,,2.633465546883461,2.7772151387278328,,0.3797277701937041,7.313700384122919,16.591732914071557,,
skew_normal,,,,6.14417568427753,33.01645080045267,-9755.183780701187,19516.367561402374,19534.52540585882,3,7.068361745214133,DST,4.5,3.0,6.0,,,8.869263069588524,3.494660845910855,-0.6120926624248058,,,,,
